GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ACE library,se.sics.ace.coap.as,DtlsAS,103,233,14,8,18,44,13,3,2,3
ACE library,se.sics.ace.coap.as,OscoreAceEndpoint,50,66,4,2,16,15,6,3,3,3
ACE library,se.sics.ace.coap.as,OscoreAS.IdPair,8,32,1,1,1,10,1,3,0,3
ACE library,se.sics.ace.coap.as,CoapDtlsEndpoint,48,65,4,2,16,15,6,3,3,3
ACE library,se.sics.ace.coap.as,OscoreAS,58,188,5,7,10,40,8,4,3,3
ACE library,se.sics.ace.coap.as,CoapDBConnector,22,82,5,7,10,26,6,10,1,9
ACE library,se.sics.ace.cwt,CWT,81,641,29,54,22,152,27,32,1,14
ACE library,se.sics.ace.cwt,CwtCryptoCtx,0,226,1,1,0,47,1,20,0,20
ACE library,se.sics.ace,AceException,0,4,0,0,0,2,0,1,0,1
ACE library,se.sics.ace,Util,548,363,60,32,106,89,45,17,5,11
ACE library,se.sics.ace,COSEparams,43,93,9,1,12,19,7,6,2,6
ACE library,se.sics.ace,ReferenceToken,169,49,21,1,39,13,15,5,4,5
ACE library,se.sics.ace,Message,0,31,0,0,0,10,0,1,0,1
ACE library,se.sics.ace,Constants,178,490,37,9,42,109,24,7,3,4
ACE library,se.sics.ace,Hkdf,389,95,1,3,10,22,3,3,2,2
ACE library,se.sics.ace.oscore.as,GroupOSCOREJoinPDP,371,1342,50,108,91,285,46,52,2,17
ACE library,se.sics.ace.as.logging,DhtLogger,209,18,15,1,59,9,19,2,11,2
ACE library,se.sics.ace.as.logging,RequestPostTopicUUID,24,0,0,0,11,0,7,0,7,0
ACE library,se.sics.ace.as.logging,Log,31,0,0,0,14,0,9,0,9,0
ACE library,se.sics.ace.as.logging,JsonOut,10,0,0,0,5,0,3,0,3,0
ACE library,se.sics.ace.as.logging,OutValue,10,0,0,0,5,0,3,0,3,0
ACE library,se.sics.ace.coap.rs.oscoreProfile,OscoreCtxDbSingleton,3,8,0,2,1,3,1,2,1,1
ACE library,se.sics.ace.coap.rs.oscoreProfile,OscoreAuthzInfo,159,426,10,34,38,102,10,17,0,5
ACE library,se.sics.ace.coap.rs.oscoreProfile,OscoreIntrospection,41,113,4,2,8,26,3,3,0,3
ACE library,se.sics.ace.coap.rs.oscoreProfile,OscoreSecurityContext,51,337,10,32,15,81,11,17,1,6
ACE library,se.sics.ace.examples,PostgreSQLDBAdapter,482,0,22,0,112,0,19,0,8,0
ACE library,se.sics.ace.examples,MySQLDBAdapter,30,728,4,4,9,76,4,8,0,8
ACE library,se.sics.ace.examples,XacmlPDP,552,0,50,0,130,0,31,0,6,0
ACE library,se.sics.ace.examples,LocalMessage,30,146,5,13,6,36,4,17,1,11
ACE library,se.sics.ace.examples,KissPDP,254,844,30,56,64,180,28,31,1,15
ACE library,se.sics.ace.examples,Aif,55,187,8,20,13,40,9,12,1,6
ACE library,se.sics.ace.examples,SQLConnector,767,2735,88,232,197,752,87,126,5,48
ACE library,se.sics.ace.examples,KissTime,0,8,0,0,0,2,0,2,0,2
ACE library,se.sics.ace.examples,XacmlPDP.new FilenameFilter() {...},11,0,0,0,2,0,2,0,2,0
ACE library,se.sics.ace.examples,KissValidator,72,158,15,19,19,31,13,11,2,5
ACE library,se.sics.ace.client,GetToken,191,28,36,4,48,8,23,2,4,1
ACE library,se.sics.ace.rs,TokenRepository,649,1826,109,199,150,424,94,89,3,26
ACE library,se.sics.ace.rs,AuthzInfo,385,959,33,79,89,230,31,36,0,10
ACE library,se.sics.ace.rs,CnonceHandler,98,267,12,18,25,66,9,13,1,6
ACE library,se.sics.ace.rs,IntrospectionException,10,0,0,0,4,0,2,0,2,0
ACE library,se.sics.ace.rs,AsRequestCreationHints,87,113,13,17,19,29,11,7,0,3
ACE library,se.sics.ace.coap,BksStore,47,355,7,21,9,81,7,20,0,13
ACE library,se.sics.ace.coap,CoapReq,31,180,8,22,10,48,10,18,3,10
ACE library,se.sics.ace.coap,CoapRes,72,33,6,2,21,9,10,5,7,4
ACE library,se.sics.ace.oscore.rs,DtlspPskStoreGroupOSCORE,54,199,12,18,15,53,13,10,1,7
ACE library,se.sics.ace.oscore.rs,Util,54,0,2,0,8,0,3,0,2,0
ACE library,se.sics.ace.oscore.rs,CoapAuthzInfoGroupOSCORE,16,54,0,0,5,16,0,3,0,3
ACE library,se.sics.ace.oscore.rs,GroupOSCOREJoinValidator,226,602,64,84,60,134,63,27,5,11
ACE library,se.sics.ace.oscore.rs,AuthzInfoGroupOSCORE,134,457,22,42,31,107,22,16,0,6
ACE library,se.sics.ace.oscore.rs,OscoreAuthzInfoGroupOSCORE,425,584,43,57,96,143,41,15,0,6
ACE library,se.sics.ace.coap.rs,CoapAuthzInfo,16,63,0,0,5,18,0,3,0,3
ACE library,se.sics.ace.coap.rs,CoapDeliverer,314,222,23,18,73,65,17,11,2,4
ACE library,se.sics.ace.coap.client,OSCOREProfileRequests,259,480,34,36,50,119,34,7,1,5
ACE library,se.sics.ace.coap.client,OSCOREProfileRequestsGroupOSCORE,378,518,52,52,71,130,53,5,2,4
ACE library,se.sics.ace.coap.client,DTLSProfileRequests,317,466,25,15,64,104,21,7,2,6
ACE library,se.sics.ace.as,Token,2067,2132,148,180,346,480,107,76,3,11
ACE library,se.sics.ace.as,PDP.IntrospectAccessLevel,0,34,0,0,0,4,0,1,0,1
ACE library,se.sics.ace.as,Authorize,29,0,0,0,10,0,4,0,4,0
ACE library,se.sics.ace.as,EndpointUtils,116,106,14,15,29,29,13,8,2,2
ACE library,se.sics.ace.as,Token.IdContextInfo,157,49,14,3,20,12,12,2,1,2
ACE library,se.sics.ace.as,AccessTokenFactory,13,37,2,3,3,6,3,3,1,2
ACE library,se.sics.ace.as,Introspect,284,315,17,27,56,80,16,11,0,5
ACE library,se.sics.ace.oscore,GroupOSCOREInputMaterialObject,8,0,0,0,3,0,2,0,2,0
ACE library,se.sics.ace.oscore,OSCOREInputMaterialObjectParameters,114,0,8,0,17,0,8,0,4,0
ACE library,se.sics.ace.oscore,GroupOSCOREInputMaterialObjectParameters,59,0,0,0,2,0,2,0,2,0
ACE library,se.sics.ace.oscore,OSCOREInputMaterialObject,31,0,0,0,8,0,5,0,5,0
ACE library,se.sics.ace.oscore,GroupInfo,437,1051,101,65,113,220,91,58,15,51
ACE library,se.sics.ace.coap.rs.dtlsProfile,DtlspIntrospection,41,320,4,2,8,71,3,4,0,4
ACE library,se.sics.ace.coap.rs.dtlsProfile,DtlspPskStore,54,199,12,18,15,52,13,10,1,7
